variavel,desfecho,k,trimestre,coef_pp,ep_pp,ic95_inf_pp,ic95_sup_pp
mobilidade_descendente_aioe,Transição para menor AIOE,-8,2020T4,-4.890239059172714,0.37469239586783576,-5.624651302406206,-4.155826815939223
mobilidade_descendente_aioe,Transição para menor AIOE,-7,2021T1,-4.469773276198809,0.36508566844386514,-5.1853559453193,-3.7541906070783178
mobilidade_descendente_aioe,Transição para menor AIOE,-6,2021T2,-4.296840805494056,0.3846911309566618,-5.0508509737109835,-3.542830637277128
mobilidade_descendente_aioe,Transição para menor AIOE,-5,2021T3,-3.813242926327621,0.33948478952028616,-4.478646837815554,-3.147839014839688
mobilidade_descendente_aioe,Transição para menor AIOE,-4,2021T4,1.6199911480431322,0.3674629231939598,0.8997489635094422,2.340233332576822
mobilidade_descendente_aioe,Transição para menor AIOE,-3,2022T1,1.1328249629285814,0.3604840791820444,0.42626159478532405,1.8393883310718384
mobilidade_descendente_aioe,Transição para menor AIOE,-2,2022T2,0.8497812695780714,0.34876180079921304,0.1661940409505445,1.5333684982055986
mobilidade_descendente_aioe,Transição para menor AIOE,-1,2022T3,0.0,0.0,0.0,0.0
mobilidade_descendente_aioe,Transição para menor AIOE,0,2022T4,0.2748197714929108,0.3396404578334709,-0.390889256181919,0.9405287991677405
mobilidade_descendente_aioe,Transição para menor AIOE,1,2023T1,-0.36649531129947416,0.34289202096003973,-1.0385775341502237,0.3055869115512755
mobilidade_descendente_aioe,Transição para menor AIOE,2,2023T2,-0.2502021570899193,0.3417721953320356,-0.9200894764396568,0.4196851622598184
mobilidade_descendente_aioe,Transição para menor AIOE,3,2023T3,0.13595753810186623,0.34321352827121415,-0.5367548520760551,0.8086699282797875
mobilidade_descendente_aioe,Transição para menor AIOE,4,2023T4,0.39843733809669346,0.3454763621413941,-0.27871029794420954,1.0755849741375965
mobilidade_descendente_aioe,Transição para menor AIOE,5,2024T1,0.856303933702658,0.3405619471046222,0.18878874980420274,1.5238191176011133
mobilidade_descendente_aioe,Transição para menor AIOE,6,2024T2,0.18132816717611233,0.3440056498269335,-0.49293681327336236,0.8555931476255871
mobilidade_descendente_aioe,Transição para menor AIOE,7,2024T3,0.3993727009271484,0.34323590717216473,-0.2733835528013265,1.0721289546556232
mobilidade_descendente_aioe,Transição para menor AIOE,8,2024T4,0.2090127865337919,0.35355945439698166,-0.483978037095533,0.9020036101631167
